,Year Factor,Time Factor,Home Team Name,Home Team Points,Away Team Points,Away Team Name,Extra Condition,Referee Nationality
149,1962,afternoon,ESP,1,0,MEX,Null,YUG
150,1962,afternoon,HUN,6,1,BUL,Null,ESP
151,1962,afternoon,FRG,2,1,SUI,Null,NED
152,1962,afternoon,URS,2,1,URU,Null,ITA
153,1962,afternoon,BRA,2,1,ESP,Null,CHI
154,1962,afternoon,HUN,0,0,ARG,Null,MEX
155,1962,afternoon,FRG,2,0,CHI,Null,SCO
156,1962,afternoon,YUG,5,0,COL,Null,CHI
157,1962,afternoon,MEX,3,1,TCH,Null,SUI
158,1962,afternoon,ENG,0,0,BUL,Null,BEL
159,1962,afternoon,ITA,3,0,SUI,Null,URS
160,1962,afternoon,CHI,2,1,URS,Null,NED
161,1962,afternoon,BRA,3,1,ENG,Null,FRA
162,1962,afternoon,TCH,1,0,HUN,Null,URS
163,1962,afternoon,YUG,1,0,FRG,Null,MEX
164,1962,afternoon,TCH,3,1,YUG,Null,SUI
165,1962,afternoon,BRA,4,2,CHI,Null,MEX
166,1962,afternoon,CHI,1,0,YUG,Null,ESP
167,1962,afternoon,BRA,3,1,TCH,Null,URS
168,1966,night,ENG,0,0,URU,Null,HUN
169,1966,night,FRG,5,0,SUI,Null,SCO
170,1966,night,BRA,2,0,BUL,Null,GER
171,1966,night,URS,3,0,PRK,Null,ESP
172,1966,night,FRA,1,1,MEX,Null,ISR
173,1966,night,POR,3,1,HUN,Null,WAL
174,1966,night,ARG,2,1,ESP,Null,BUL
175,1966,night,ITA,2,0,CHI,Null,SUI
176,1966,night,URU,2,1,FRA,Null,TCH
177,1966,night,ESP,2,1,SUI,Null,URS
178,1966,night,HUN,3,1,BRA,Null,ENG
179,1966,night,PRK,1,1,CHI,Null,EGY
180,1966,afternoon,POR,3,0,BUL,Null,URU
181,1966,afternoon,FRG,0,0,ARG,Null,YUG
182,1966,afternoon,URS,1,0,ITA,Null,GER
183,1966,night,ENG,2,0,MEX,Null,ITA
184,1966,afternoon,URU,0,0,MEX,Null,SWE
185,1966,night,ARG,2,0,SUI,Null,POR
186,1966,night,POR,3,1,BRA,Null,ENG
187,1966,night,PRK,1,0,ITA,Null,FRA
188,1966,night,ENG,2,0,FRA,Null,MEX
189,1966,night,HUN,3,1,BUL,Null,ARG
190,1966,night,FRG,2,1,ESP,Null,BRA
191,1966,night,URS,2,1,CHI,Null,NIR
192,1966,afternoon,ENG,1,0,ARG,Null,GER
193,1966,afternoon,FRG,4,0,URU,Null,ENG
194,1966,afternoon,URS,2,1,HUN,Null,ESP
195,1966,afternoon,POR,5,3,PRK,Null,ISR
196,1966,night,FRG,2,1,URS,Null,ITA
197,1966,night,ENG,2,1,POR,Null,FRA
198,1966,night,POR,2,1,URS,Null,ENG
199,1966,afternoon,ENG,4,2,FRG,Extra,SUI
200,1970,afternoon,MEX,0,0,URS,Null,GER
201,1970,afternoon,URU,2,0,ISR,Null,SCO
202,1970,afternoon,PER,3,2,BUL,Null,ITA
203,1970,afternoon,ENG,1,0,ROU,Null,BEL
204,1970,afternoon,ITA,1,0,SWE,Null,ENG
205,1970,afternoon,FRG,2,1,MAR,Null,NED
206,1970,afternoon,BRA,4,1,TCH,Null,URU
207,1970,afternoon,BEL,3,0,SLV,Null,ROU
208,1970,afternoon,URU,0,0,ITA,Null,GDR
209,1970,afternoon,PER,3,0,MAR,Null,URS
210,1970,afternoon,ROU,2,1,TCH,Null,MEX
211,1970,afternoon,URS,4,1,BEL,Null,SUI
212,1970,afternoon,SWE,1,1,ISR,Null,ETH
213,1970,afternoon,FRG,5,2,BUL,Null,ESP
214,1970,afternoon,BRA,1,0,ENG,Null,ISR
215,1970,afternoon,MEX,4,0,SLV,Null,EGY
216,1970,afternoon,SWE,1,0,URU,Null,USA
217,1970,afternoon,FRG,3,1,PER,Null,MEX
218,1970,afternoon,BRA,3,2,ROU,Null,AUT
219,1970,afternoon,URS,2,0,SLV,Null,CHI
220,1970,afternoon,ITA,0,0,ISR,Null,BRA
221,1970,afternoon,BUL,1,1,MAR,Null,POR
222,1970,afternoon,ENG,1,0,TCH,Null,FRA
223,1970,afternoon,MEX,1,0,BEL,Null,ARG
224,1970,afternoon,ITA,4,1,MEX,Null,SUI
225,1970,afternoon,FRG,3,2,ENG,Extra,ARG
226,1970,afternoon,BRA,4,2,PER,Null,BEL
227,1970,afternoon,URU,1,0,URS,Extra,NED
228,1970,afternoon,BRA,3,1,URU,Null,ESP
229,1970,afternoon,ITA,4,3,FRG,Extra,MEX
230,1970,afternoon,FRG,1,0,URU,Null,ITA
231,1970,afternoon,BRA,4,1,ITA,Null,GDR
232,1974,dusk,BRA,0,0,YUG,Null,SUI
233,1974,afternoon,FRG,1,0,CHI,Null,TUR
234,1974,night,GDR,2,0,AUS,Null,SEN
235,1974,night,ZAI,0,2,SCO,Null,GER
236,1974,afternoon,URU,0,2,NED,Null,HUN
237,1974,afternoon,SWE,0,0,BUL,Null,PER
238,1974,dusk,ITA,3,1,HAI,Null,VEN
239,1974,dusk,POL,3,2,ARG,Null,WAL
240,1974,afternoon,AUS,0,3,FRG,Null,EGY
241,1974,night,SCO,0,0,BRA,Null,NED
242,1974,night,CHI,1,1,GDR,Null,ITA
243,1974,night,YUG,9,0,ZAI,Null,COL
244,1974,night,NED,0,0,SWE,Null,CAN
245,1974,night,BUL,1,1,URU,Null,ENG
246,1974,night,HAI,0,7,POL,Null,SIN
247,1974,night,ARG,1,1,ITA,Null,URS
248,1974,afternoon,SCO,1,1,YUG,Null,MEX
249,1974,afternoon,AUS,0,0,CHI,Null,IRN
250,1974,afternoon,ZAI,0,3,BRA,Null,ROU
251,1974,night,GDR,1,0,FRG,Null,URU
252,1974,afternoon,BUL,1,4,NED,Null,AUS
253,1974,afternoon,ARG,4,1,HAI,Null,ESP
254,1974,afternoon,SWE,3,0,URU,Null,AUT
255,1974,afternoon,POL,2,1,ITA,Null,FRG
256,1974,afternoon,YUG,0,2,FRG,Null,BRA
257,1974,night,BRA,1,0,GDR,Null,WAL
258,1974,night,NED,4,0,ARG,Null,SCO
259,1974,night,SWE,0,1,POL,Null,URU
260,1974,afternoon,ARG,1,2,BRA,Null,BEL
261,1974,afternoon,POL,2,1,YUG,Null,GDR
262,1974,afternoon,GDR,0,2,NED,Null,SUI
263,1974,night,FRG,4,2,SWE,Null,URS
264,1974,dusk,POL,0,1,FRG,Null,AUT
265,1974,night,NED,2,0,BRA,Null,GER
266,1974,night,ARG,1,1,GDR,Null,ENG
267,1974,night,SWE,2,1,YUG,Null,ARG
268,1974,afternoon,BRA,0,1,POL,Null,ITA
269,1974,afternoon,NED,1,2,FRG,Null,ENG
270,1978,afternoon,FRG,0,0,POL,Null,ARG
271,1978,afternoon,ITA,2,1,FRA,Null,ROU
272,1978,afternoon,TUN,3,1,MEX,Null,SCO
273,1978,night,ARG,2,1,HUN,Null,POR
274,1978,afternoon,SWE,1,1,BRA,Null,WAL
275,1978,afternoon,AUT,2,1,ESP,Null,HUN
276,1978,afternoon,PER,3,1,SCO,Null,SWE
277,1978,afternoon,NED,3,0,IRN,Null,MEX
278,1978,afternoon,ITA,3,1,HUN,Null,URU
279,1978,afternoon,POL,1,0,TUN,Null,ESP
280,1978,afternoon,FRG,6,0,MEX,Null,SYR
281,1978,night,ARG,2,1,FRA,Null,SUI
282,1978,afternoon,BRA,0,0,ESP,Null,ITA
283,1978,afternoon,AUT,1,0,SWE,Null,NED
284,1978,afternoon,SCO,1,1,IRN,Null,SEN
285,1978,afternoon,NED,0,0,PER,Null,GDR
286,1978,afternoon,FRA,3,1,HUN,Null,BRA
287,1978,afternoon,POL,3,1,MEX,Null,IRN
288,1978,afternoon,FRG,0,0,TUN,Null,PER
289,1978,night,ITA,1,0,ARG,Null,ISR
290,1978,afternoon,BRA,1,0,AUT,Null,FRA
291,1978,afternoon,ESP,1,0,SWE,Null,GER
292,1978,afternoon,PER,4,1,IRN,Null,POL
293,1978,afternoon,SCO,3,2,NED,Null,AUT
294,1978,afternoon,FRG,0,0,ITA,Null,SCG
295,1978,afternoon,NED,5,1,AUT,Null,SCO
296,1978,afternoon,BRA,3,0,PER,Null,ROU
297,1978,night,ARG,2,0,POL,Null,SWE
298,1978,afternoon,POL,1,0,PER,Null,ENG
