,Year,home_team,home_gdp,home_population,home_oddset,home_fifa_rank,home_host,away_team,away_gdp,away_population,away_oddset,away_fifa_rank,away_host,home_goal,away_goal,win_point,result
100,1982,ITA,41829,6047,200000,7,0,CMR,3868,2655,20000,55,0,1,1,0,0
101,1982,ARG,20771,4520,900,8,0,SLV,8421,649,200000,69,0,2,0,2,1
102,1982,BRA,14836,21256,450,3,0,NZL,44492,483,200000,122,0,4,0,4,1
103,1982,AUT,55684,901,200000,23,0,FRA,46984,6528,550,2,0,0,1,-1,-1
104,1982,POL,34241,3785,12500,21,0,BEL,53035,1159,1200,1,0,3,0,3,1
105,1982,ITA,41829,6047,200000,7,0,ARG,20771,4520,900,8,0,2,1,1,1
106,1982,ARG,20771,4520,900,8,0,BRA,14836,21256,450,3,0,1,3,-2,-1
107,1982,ITA,41829,6047,200000,7,0,BRA,14836,21256,450,3,0,3,2,1,1
108,1982,POL,34241,3785,12500,21,0,ITA,41829,6047,200000,7,0,0,2,-2,-1
109,1982,POL,34241,3785,12500,21,0,FRA,46984,6528,550,2,0,3,2,1,1
110,1986,CAN,46612,3775,15000,70,0,FRA,46984,6528,550,2,0,0,1,-1,-1
111,1986,ESP,37766,4676,800,6,0,BRA,14836,21256,450,3,0,0,1,-1,-1
112,1986,ARG,20771,4520,900,8,0,KOR,45275,5127,25000,39,0,3,1,2,1
113,1986,MAR,7370,3692,25000,34,0,POL,34241,3785,12500,21,0,0,0,0,0
114,1986,BEL,53035,1159,1200,1,0,MEX,18445,12894,15000,11,1,1,2,-1,-1
115,1986,ITA,41829,6047,200000,7,0,ARG,20771,4520,900,8,0,1,1,0,0
116,1986,HUN,33078,967,200000,37,0,CAN,46612,3775,15000,70,0,2,0,2,1
117,1986,IRQ,9507,4023,200000,68,0,BEL,53035,1159,1200,1,0,1,2,-1,-1
118,1986,HUN,33078,967,200000,37,0,FRA,46984,6528,550,2,0,0,3,-3,-1
119,1986,KOR,45275,5127,25000,39,0,ITA,41829,6047,200000,7,0,2,3,-1,-1
120,1986,IRQ,9507,4023,200000,68,0,MEX,18445,12894,15000,11,1,0,1,-1,-1
121,1986,BRA,14836,21256,450,3,0,POL,34241,3785,12500,21,0,4,0,4,1
122,1986,ITA,41829,6047,200000,7,0,FRA,46984,6528,550,2,0,0,2,-2,-1
123,1986,BRA,14836,21256,450,3,0,FRA,46984,6528,550,2,0,1,1,0,0
124,1986,ESP,37766,4676,800,6,0,BEL,53035,1159,1200,1,0,1,1,0,0
125,1986,ARG,20771,4520,900,8,0,BEL,53035,1159,1200,1,0,2,0,2,1
126,1986,FRA,46984,6528,550,2,0,BEL,53035,1159,1200,1,0,4,2,2,1
